income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Four;None;Live with Parents/Family;House;Hispanic;English
$30,000 to $39,999;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Four to six years;Yes;Three;None;Own;House;American Indian;English
$15,000 to $19,999;Female;Divorced or separated;35 thru 44;Grades 9 to 11;Professional/Managerial;More than ten years;Not Married;Five;Two;Rent;House;Hispanic;English
$40,000 to $49,999;Male;Married;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;No;Four;One;NA;House;American Indian;English
$75,000 or more;Male;Single, never married;25 thru 34;College graduate;Sales Worker;More than ten years;Not Married;Six;None;Live with Parents/Family;House;Other;English
Less than $10,000;Female;Married;45 thru 54;Grade 8 or less;Unemployed;More than ten years;Yes;Four;None;Own;House;Hispanic;English
$10,000 to $14,999;Female;Married;25 thru 34;1 to 3 years of college;Unemployed;More than ten years;No;Six;Four;Rent;Apartment;Hispanic;English
Less than $10,000;Female;Married;18 thru 24;Grade 8 or less;Homemaker;Seven to ten years;No;Eight;Six;Own;House;Hispanic;Spanish
$40,000 to $49,999;Female;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Two;None;Own;House;Black;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;Grades 9 to 11;Sales Worker;Seven to ten years;Not Married;Four;One;Own;House;White;English
$10,000 to $14,999;Female;Married;35 thru 44;Graduated high school;Sales Worker;More than ten years;Yes;Three;One;Rent;Apartment;Hispanic;English
$40,000 to $49,999;Female;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Seven to ten years;Yes;Four;Two;Own;House;White;English
Less than $10,000;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Sales Worker;More than ten years;Not Married;NA;None;Rent;Mobile Home;Hispanic;Other
$10,000 to $14,999;Male;Married;45 thru 54;1 to 3 years of college;Student, HS or College;More than ten years;No;Nine or more;Nine or more;Rent;NA;Hispanic;Spanish
Less than $10,000;Female;Living together, not married;14 thru 17;Grades 9 to 11;Homemaker;Seven to ten years;Yes;Six;Two;Rent;Other;Hispanic;Spanish
$15,000 to $19,999;Female;Married;35 thru 44;Grade 8 or less;Homemaker;Less than one year;No;Nine or more;Four;Rent;House;Hispanic;Spanish
$15,000 to $19,999;Female;Married;18 thru 24;Grad Study;Homemaker;Less than one year;No;Nine or more;Three;Rent;House;Hispanic;Spanish
$40,000 to $49,999;Female;Married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Yes;Four;Two;Rent;House;Black;NA
$10,000 to $14,999;Female;Married;35 thru 44;Graduated high school;Clerical/Service Worker;More than ten years;No;Four;Two;Rent;Other;Hispanic;Spanish
Less than $10,000;Female;Single, never married;25 thru 34;Graduated high school;Unemployed;NA;Not Married;Four;None;Rent;Apartment;Hispanic;Spanish
$10,000 to $14,999;Female;Married;25 thru 34;Graduated high school;Homemaker;More than ten years;No;Six;Two;Live with Parents/Family;House;Hispanic;English
$10,000 to $14,999;Male;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Six;Two;Own;House;Hispanic;English
$20,000 to $24,999;Female;Married;25 thru 34;Graduated high school;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;Hispanic;English
$25,000 to $29,999;Male;Married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;No;Four;Two;Rent;House;Hispanic;NA
Less than $10,000;Male;Single, never married;25 thru 34;Graduated high school;Clerical/Service Worker;Four to six years;Not Married;Three;None;Rent;Apartment;Hispanic;Spanish
Less than $10,000;Male;Single, never married;25 thru 34;1 to 3 years of college;Unemployed;One to three years;Not Married;Three;None;Rent;House;Hispanic;Spanish
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;Five;None;Live with Parents/Family;House;Hispanic;English
$25,000 to $29,999;Male;Married;45 thru 54;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Yes;Six;None;Own;House;Hispanic;Spanish
$15,000 to $19,999;Male;Married;55 thru 64;Grade 8 or less;Factory Worker/Laborer/Driver;More than ten years;Yes;Two;None;NA;Mobile Home;Hispanic;English
$40,000 to $49,999;Female;Widowed;55 thru 64;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Own;House;Hispanic;Spanish
$50,000 to $74,999;Male;Widowed;45 thru 54;Graduated high school;Professional/Managerial;More than ten years;Not Married;Three;Two;Own;House;Hispanic;English
$20,000 to $24,999;Female;Married;55 thru 64;Grade 8 or less;Homemaker;More than ten years;No;NA;Three;NA;House;American Indian;English
Less than $10,000;Male;Married;35 thru 44;1 to 3 years of college;Unemployed;More than ten years;Not Married;Four;Two;Own;House;Hispanic;Spanish
$40,000 to $49,999;Female;Married;35 thru 44;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Two;None;Own;House;Hispanic;Spanish
$25,000 to $29,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Four;One;Own;House;Hispanic;English
$15,000 to $19,999;Female;NA;45 thru 54;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Three;None;Own;Mobile Home;Hispanic;English
Less than $10,000;Female;Living together, not married;18 thru 24;Grades 9 to 11;Homemaker;Seven to ten years;Yes;Five;None;Rent;NA;Hispanic;Spanish
$25,000 to $29,999;Male;Married;55 thru 64;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Yes;Four;One;Own;House;Hispanic;English
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Five;Three;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;Own;House;Hispanic;Spanish
$15,000 to $19,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;NA;Yes;Four;None;Rent;Apartment;Hispanic;Spanish
$15,000 to $19,999;Female;Divorced or separated;25 thru 34;Graduated high school;Sales Worker;NA;Not Married;One;None;Rent;Apartment;Hispanic;Spanish
Less than $10,000;Male;Divorced or separated;35 thru 44;NA;Unemployed;NA;Not Married;One;None;Rent;Apartment;Hispanic;Spanish
Less than $10,000;Male;Single, never married;18 thru 24;Grades 9 to 11;Unemployed;NA;Not Married;Five;None;Live with Parents/Family;House;Hispanic;English
$25,000 to $29,999;Male;Married;25 thru 34;Grade 8 or less;Factory Worker/Laborer/Driver;Seven to ten years;Yes;Seven;Five;Rent;House;Hispanic;Spanish
$20,000 to $24,999;Female;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;No;Two;None;Rent;Apartment;White;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;Grades 9 to 11;Factory Worker/Laborer/Driver;Four to six years;Not Married;Three;Three;Rent;Apartment;Hispanic;Spanish
$25,000 to $29,999;Male;Married;25 thru 34;Graduated high school;Homemaker;More than ten years;Yes;Five;Three;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Four;Two;Own;House;Hispanic;Spanish
$20,000 to $24,999;Male;Single, never married;25 thru 34;Grades 9 to 11;Factory Worker/Laborer/Driver;One to three years;Not Married;One;None;Rent;Apartment;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Four;Two;Rent;Apartment;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;NA;Yes;Four;Two;NA;House;Asian;NA
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;NA;Yes;Four;Two;Rent;House;Hispanic;Spanish
$15,000 to $19,999;Male;Married;45 thru 54;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;No;Nine or more;Five;Own;House;Hispanic;English
$25,000 to $29,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Six;Four;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Five;Three;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;Own;NA;Hispanic;Spanish
$25,000 to $29,999;Male;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;NA;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;Rent;House;Hispanic;Spanish
$20,000 to $24,999;Male;Single, never married;25 thru 34;Grades 9 to 11;Factory Worker/Laborer/Driver;NA;Not Married;One;None;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Five;Three;Rent;House;Hispanic;Spanish
$25,000 to $29,999;Male;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Five;Three;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Five;Three;Own;House;Hispanic;Spanish
$25,000 to $29,999;Male;Married;25 thru 34;NA;NA;One to three years;Yes;Four;Two;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;NA;Yes;Five;Three;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;NA;House;Asian;NA
$30,000 to $39,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Five;Three;Rent;House;Hispanic;Spanish
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;Hispanic;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Nine or more;Six;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Unemployed;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Hispanic;NA
Less than $10,000;Female;Divorced or separated;25 thru 34;Graduated high school;Unemployed;More than ten years;Not Married;Three;Two;Live with Parents/Family;House;Hispanic;Spanish
$20,000 to $24,999;Female;Divorced or separated;25 thru 34;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Three;One;Rent;Apartment;Hispanic;English
$20,000 to $24,999;Female;Living together, not married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Two;None;Rent;Apartment;Hispanic;English
$15,000 to $19,999;Female;Living together, not married;25 thru 34;Grades 9 to 11;Sales Worker;Four to six years;Not Married;Four;Two;Rent;House;Hispanic;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Unemployed;More than ten years;Not Married;Three;Two;Live with Parents/Family;Apartment;Hispanic;Spanish
$20,000 to $24,999;Female;Single, never married;35 thru 44;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;Hispanic;English
$50,000 to $74,999;Female;Married;18 thru 24;1 to 3 years of college;Clerical/Service Worker;NA;Not Married;NA;None;NA;House;Hispanic;Spanish
$40,000 to $49,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Five;Three;Own;House;Hispanic;Spanish
$50,000 to $74,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;NA;Not Married;One;None;Own;House;Hispanic;English
$20,000 to $24,999;Female;Married;25 thru 34;Graduated high school;Unemployed;More than ten years;No;Six;Four;Rent;House;Hispanic;Spanish
$15,000 to $19,999;Female;Married;18 thru 24;Graduated high school;Unemployed;Seven to ten years;No;Five;Three;Rent;Apartment;Hispanic;Spanish
$25,000 to $29,999;Male;Married;18 thru 24;Graduated high school;Unemployed;Four to six years;No;Three;One;Rent;Apartment;Hispanic;English
$15,000 to $19,999;Male;Married;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;NA;Two;Rent;Apartment;Hispanic;Spanish
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Eight;Four;Live with Parents/Family;House;Hispanic;English
$25,000 to $29,999;Female;Married;25 thru 34;Graduated high school;Unemployed;Seven to ten years;No;Four;Two;Rent;Apartment;Hispanic;English
$25,000 to $29,999;Male;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Four;Two;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Female;Married;35 thru 44;NA;Clerical/Service Worker;NA;Yes;Five;Three;Rent;House;Hispanic;English
Less than $10,000;Female;Single, never married;25 thru 34;Grades 9 to 11;Unemployed;More than ten years;Not Married;Four;Three;Live with Parents/Family;Apartment;Hispanic;Spanish
